,game_id,season,game_type,week,gameday,weekday,gametime,gametime_hour,gametime_minute,away_team,away_score,home_team,home_score,location,result,total,overtime,pfr,espn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,referee,stadium_id,stadium,outdoor,grass,playoff,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win,home_afterbye,away_afterbye,tie
1,2011_01_NO_GB,2011,REG,1,9/8/2011,Thursday,20:30,20,30,NO,34,GB,42,Home,8,76,0,201109080gnb,310908009,7,7,222,-250,4.5,100,-108,47.5,104,-115,0,outdoors,grass,68,5,00-0020531,00-0023459,Clete Blakeman,GNB00,Lambeau Field,1,1,0,2,0.26,1,0.29,1,0,0,0
2,2011_01_PIT_BAL,2011,REG,1,9/11/2011,Sunday,13:00,13,0,PIT,7,BAL,35,Home,28,42,0,201109110rav,310911033,7,7,113,-125,1,108,-117,37,-101,-109,1,outdoors,sportturf,75,2,00-0022924,00-0026158,Tony Corrente,BAL00,M&T Bank Stadium,1,0,0,8,0.14,3,0.22,1,0,0,0
3,2011_01_ATL_CHI,2011,REG,1,9/11/2011,Sunday,13:00,13,0,ATL,12,CHI,30,Home,18,42,0,201109110chi,310911003,7,7,-116,105,-1,-109,101,40.5,-101,-109,0,outdoors,grass,76,7,00-0026143,00-0024226,Ed Hochuli,CHI98,Soldier Field,1,1,0,15,0.01,7,0.17,1,0,0,0
4,2011_01_CIN_CLE,2011,REG,1,9/11/2011,Sunday,13:00,13,0,CIN,27,CLE,17,Home,-10,44,0,201109110cle,310911005,7,7,273,-310,6.5,109,-118,36.5,-101,-109,1,outdoors,grass,72,9,00-0027973,00-0027688,Bill Leavy,CLE00,Cleveland Browns Stadium,1,1,0,25,-0.15,17,-0.01,0,0,0,0
5,2011_01_IND_HOU,2011,REG,1,9/11/2011,Sunday,13:00,13,0,IND,7,HOU,34,Home,27,41,0,201109110htx,310911034,7,7,369,-430,9,-110,102,44,-106,-104,1,open,grass,70,0,00-0003292,00-0022787,Walt Coleman,HOU00,Reliant Stadium,0,1,0,5,0.2,32,-0.35,1,0,0,0
6,2011_01_TEN_JAX,2011,REG,1,9/11/2011,Sunday,13:00,13,0,TEN,14,JAX,16,Home,2,30,0,201109110jax,310911030,7,7,-108,-102,-1,-102,-106,38,-101,-109,1,outdoors,grass,87,5,00-0007091,00-0022864,Mike Carey,JAX00,EverBank Field,1,1,0,28,-0.2,14,0.05,1,0,0,0
7,2011_01_BUF_KC,2011,REG,1,9/11/2011,Sunday,13:00,13,0,BUF,41,KC,7,Home,-34,48,0,201109110kan,310911012,7,7,173,-192,3.5,-108,100,38.5,-105,-105,0,outdoors,grass,75,0,00-0023682,00-0023662,Scott Green,KAN00,Arrowhead Stadium,1,1,0,27,-0.18,23,-0.1,0,0,0,0
8,2011_01_PHI_STL,2011,REG,1,9/11/2011,Sunday,13:00,13,0,PHI,31,STL,13,Home,-18,44,0,201109110ram,310911014,7,7,-200,180,-3.5,-102,-106,44,-103,-107,0,dome,astroplay,70,0,00-0020245,00-0027854,Gene Steratore,STL00,Edward Jones Dome,0,0,0,31,-0.33,9,0.13,0,0,0,0
9,2011_01_DET_TB,2011,REG,1,9/11/2011,Sunday,13:00,13,0,DET,27,TB,20,Home,-7,47,0,201109110tam,310911027,7,7,113,-125,1,109,-118,43.5,-107,-103,0,outdoors,grass,86,6,00-0026498,00-0026993,Walt Anderson,TAM00,Raymond James Stadium,1,1,0,30,-0.27,10,0.13,0,0,0,0
10,2011_01_CAR_ARI,2011,REG,1,9/11/2011,Sunday,16:15,16,15,CAR,21,ARI,28,Home,7,49,0,201109110crd,310911022,7,7,266,-302,6.5,104,-113,37.5,-107,-103,0,closed,grass,70,0,00-0027939,00-0025423,Carl Cheffers,PHO00,University of Phoenix Stadium,0,1,0,26,-0.17,20,-0.04,1,0,0,0
