away_moneyline,home_moneyline,spread_line,home_spread_odds,total_line,temp,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win
222,-250,4.5,-108,47.5,68,2,0.26,1,0.29,1
113,-125,1.0,-117,37.0,75,8,0.14,3,0.22,1
-116,105,-1.0,101,40.5,76,15,0.01,7,0.17,1
273,-310,6.5,-118,36.5,72,25,-0.15,17,-0.01,0
369,-430,9.0,102,44.0,70,5,0.2,32,-0.35,1
-108,-102,-1.0,-106,38.0,87,28,-0.2,14,0.05,1
173,-192,3.5,100,38.5,75,27,-0.18,23,-0.1,0
-200,180,-3.5,-106,44.0,70,31,-0.33,9,0.13,0
113,-125,1.0,-118,43.5,86,30,-0.27,10,0.13,0
266,-302,6.5,-113,37.5,70,26,-0.17,20,-0.04,1
387,-453,9.0,-102,43.5,74,16,0.0,29,-0.2,1
213,-239,6.0,-104,38.0,68,6,0.18,19,-0.02,1
-111,101,-1.0,-102,40.5,87,21,-0.08,12,0.07,1
239,-270,6.5,-102,40.5,70,11,0.12,13,0.06,1
-330,289,-7.0,-104,46.5,82,18,-0.02,4,0.22,0
153,-170,3.0,-110,42.5,75,24,-0.13,22,-0.09,0
171,-190,3.5,-102,40.5,65,23,-0.1,22,-0.09,1
-539,453,-10.5,-109,45.5,64,20,-0.04,2,0.26,0
285,-325,9.0,115,45.0,70,10,0.13,27,-0.18,1
-120,109,-1.0,104,39.5,70,32,-0.35,25,-0.15,0
102,-112,1.0,-106,41.0,70,29,-0.2,30,-0.27,0
204,-228,4.5,-104,46.5,70,1,0.29,15,0.01,1
330,-380,9.0,106,38.0,66,11,0.12,28,-0.2,1
604,-750,13.5,-104,39.5,63,3,0.22,19,-0.02,1
-242,216,-5.5,-113,39.5,76,14,0.05,8,0.14,1
193,-215,4.5,-102,44.5,66,21,-0.08,26,-0.17,1
-167,151,-3.0,100,41.0,70,6,0.18,13,0.06,0
153,-170,3.5,114,40.5,69,24,-0.13,17,-0.01,1
-151,137,-3.0,-108,46.5,87,18,-0.02,5,0.2,0
244,-275,6.5,-104,53.5,63,4,0.22,16,0.0,1
