kernal,cut_off,accuracy,recall,f1,overall_score
rbf,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.15,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
rbf,0.2,0.5644067796610169,0.9606060606060606,0.7115600448933782,0.7455242950534853
rbf,0.25,0.6322033898305085,0.9212121212121213,0.7369696969696969,0.7634617360041088
rbf,0.3,0.6474576271186441,0.8818181818181818,0.7367088607594936,0.7553282232321065
rbf,0.35,0.6796610169491526,0.8606060606060606,0.7503302509907529,0.7635324428486553
rbf,0.4,0.688135593220339,0.8333333333333334,0.7493188010899182,0.7569292425478635
rbf,0.45,0.6949152542372882,0.793939393939394,0.7443181818181818,0.7443909433316213
rbf,0.5,0.7050847457627119,0.7818181818181819,0.7478260869565218,0.7449096715124718
poly,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.15,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
poly,0.2,0.5610169491525424,0.9878787878787879,0.7156970362239298,0.7548642577517534
poly,0.25,0.5864406779661017,0.9696969696969697,0.7239819004524887,0.7600398493718533
poly,0.3,0.6067796610169491,0.9333333333333333,0.7264150943396227,0.7555093628966351
poly,0.35,0.6423728813559322,0.906060606060606,0.7391841779975277,0.7625392218046887
poly,0.4,0.6694915254237288,0.8727272727272727,0.7470817120622567,0.7631001700710861
poly,0.45,0.6847457627118644,0.8454545454545455,0.75,0.7600667693888034
poly,0.5,0.6949152542372882,0.8151515151515152,0.7493036211699164,0.7531234635195734
rbf,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.2,0.5728813559322034,0.996969696969697,0.7230769230769231,0.7643093253262744
rbf,0.25,0.6305084745762712,0.9696969696969697,0.745920745920746,0.7820420633979955
rbf,0.3,0.6389830508474577,0.9242424242424242,0.741190765492102,0.7681387468606613
rbf,0.35,0.6576271186440678,0.9030303030303031,0.7468671679197995,0.7691748631980567
rbf,0.4,0.6745762711864407,0.8727272727272727,0.7500000000000001,0.7657678479712379
rbf,0.45,0.688135593220339,0.8393939393939394,0.7506775067750677,0.7594023464631153
rbf,0.5,0.7067796610169491,0.8121212121212121,0.7559943582510578,0.7582984104630729
poly,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.2,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.25,0.5677966101694916,1.0,0.7213114754098361,0.7630360285264426
poly,0.3,0.5898305084745763,0.996969696969697,0.7311111111111112,0.7726371055184615
poly,0.35,0.6101694915254238,0.9878787878787879,0.7392290249433106,0.7790924347825073
poly,0.4,0.6338983050847458,0.9787878787878788,0.7494199535962877,0.7873687124896374
poly,0.45,0.6457627118644068,0.9333333333333333,0.7466666666666667,0.7752542372881356
poly,0.5,0.6627118644067796,0.906060606060606,0.7503136762860727,0.773028715584486
rbf,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.2,0.5813559322033899,0.996969696969697,0.72707182320442,0.7684658174591691
rbf,0.25,0.6474576271186441,0.9666666666666667,0.7541371158392436,0.7894204698748514
rbf,0.3,0.6847457627118644,0.9242424242424242,0.7663316582914571,0.7917732817485819
rbf,0.35,0.6932203389830508,0.8878787878787879,0.7640156453715775,0.7817049240778055
rbf,0.4,0.6966101694915254,0.8636363636363636,0.7610146862483311,0.7737537397920734
rbf,0.45,0.6966101694915254,0.8212121212121212,0.7517337031900139,0.7565186646312202
rbf,0.5,0.7067796610169491,0.793939393939394,0.751793400286944,0.7508374850810956
poly,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.1,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
poly,0.15,0.5644067796610169,1.0,0.7197382769901853,0.7613816855504009
poly,0.2,0.5694915254237288,1.0,0.7221006564551423,0.7638640606262904
poly,0.25,0.5915254237288136,0.996969696969697,0.731924360400445,0.7734731603663185
poly,0.3,0.6338983050847458,0.9818181818181818,0.75,0.7885721623009759
poly,0.35,0.6694915254237288,0.9484848484848485,0.7624847746650427,0.79348704952454
poly,0.4,0.6796610169491526,0.9090909090909091,0.7604562737642586,0.7830693999347735
poly,0.45,0.6830508474576271,0.8757575757575757,0.7555555555555554,0.7714546595902528
poly,0.5,0.6915254237288135,0.8393939393939394,0.7527173913043478,0.7612122514757003
rbf,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.15,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.2,0.5779661016949152,0.9848484848484849,0.7230255839822024,0.7619467235085341
rbf,0.25,0.635593220338983,0.9515151515151515,0.7449584816132858,0.7773556178224735
rbf,0.3,0.6542372881355932,0.9121212121212121,0.7468982630272953,0.7710855877613669
rbf,0.35,0.6610169491525424,0.8757575757575757,0.74293059125964,0.7599017053899194
rbf,0.4,0.6745762711864407,0.8393939393939394,0.742627345844504,0.7521991854749613
rbf,0.45,0.688135593220339,0.8121212121212121,0.7444444444444445,0.7482337499286652
rbf,0.5,0.6864406779661016,0.7727272727272727,0.7338129496402879,0.730993633444554
poly,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.1,0.559322033898305,0.996969696969697,0.7167755991285403,0.7576891099988474
poly,0.15,0.5627118644067797,0.990909090909091,0.7171052631578948,0.7569087394912551
poly,0.2,0.5779661016949152,0.9696969696969697,0.7199100112485939,0.755857694213493
poly,0.25,0.611864406779661,0.9393939393939394,0.730270906949352,0.7605097510409843
poly,0.3,0.6389830508474577,0.906060606060606,0.7373612823674476,0.7608016464251705
poly,0.35,0.6542372881355932,0.8575757575757575,0.735064935064935,0.7489593269254285
poly,0.4,0.6813559322033899,0.8363636363636363,0.7459459459459459,0.754555171504324
poly,0.45,0.6847457627118644,0.7848484848484848,0.7357954545454546,0.7351299007019346
poly,0.5,0.6966101694915254,0.7484848484848485,0.7340267459138188,0.726373921296731
rbf,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
rbf,0.15,0.5627118644067797,1.0,0.7189542483660131,0.7605553709242643
rbf,0.2,0.6,0.9727272727272728,0.7312072892938496,0.7679781873403742
rbf,0.25,0.6389830508474577,0.9121212121212121,0.7386503067484662,0.7632515232390453
rbf,0.3,0.6644067796610169,0.8787878787878788,0.7455012853470437,0.7628986479319798
rbf,0.35,0.6847457627118644,0.8454545454545455,0.75,0.7600667693888034
rbf,0.4,0.6745762711864407,0.793939393939394,0.7318435754189944,0.7334530801816097
rbf,0.45,0.6694915254237288,0.7454545454545455,0.7161572052401747,0.7103677587061497
rbf,0.5,0.6728813559322034,0.7181818181818181,0.7106446776611693,0.7005692839250637
poly,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.1,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
poly,0.15,0.5677966101694916,1.0,0.7213114754098361,0.7630360285264426
poly,0.2,0.5864406779661017,0.990909090909091,0.7282850779510022,0.7685449489420649
poly,0.25,0.6101694915254238,0.9545454545454546,0.7325581395348837,0.7657576952019207
poly,0.3,0.6423728813559322,0.9272727272727272,0.7436208991494533,0.7710888359260375
poly,0.35,0.6610169491525424,0.8757575757575757,0.74293059125964,0.7599017053899194
